City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
329,conde,-7.2597,-34.9075,29.7,54,20,5.66,BR,1700846167
330,al kharijah,25.4514,30.5464,21.42,23,100,2.06,EG,1700846206
331,wuwei,37.9281,102.6414,-2.2,43,20,2.16,CN,1700846207
332,uyuni,-20.4597,-66.825,18.1,33,90,3.41,BO,1700846208
333,visakhapatnam,17.69,83.2093,26.94,65,75,1.03,IN,1700846209
334,kalabo,-14.97,22.6814,24.24,59,78,2.79,ZM,1700846210
335,aleksandrovsk-sakhalinskiy,50.8975,142.1561,-14.69,77,100,8.45,RU,1700846210
336,aykhal,66.0,111.5,-25.52,100,100,2.31,RU,1700846211
337,escanaba,45.7453,-87.0646,-1.94,63,20,6.17,US,1700846212
338,antonio enes,-16.2325,39.9086,27.94,74,68,5.67,MZ,1700846212
339,chengde,40.9725,117.9361,-9.24,32,2,0.44,CN,1700846213
340,lufkin,31.3382,-94.7291,16.7,53,0,3.09,US,1700846096
341,kosh-agach,50.0,88.6667,-13.16,87,75,0.89,RU,1700846215
342,kerikeri,-35.2268,173.9474,8.5,84,22,3.19,NZ,1700846216
343,yima,34.7381,111.8839,-0.85,26,1,5.17,CN,1700846216
344,tazacorte,28.629,-17.9293,22.54,93,75,2.06,ES,1700846217
345,alliance,40.9153,-81.1059,3.84,80,100,4.38,US,1700846219
346,rincon,32.296,-81.2354,15.53,77,75,2.06,US,1700846219
347,wotje,9.4543,170.2367,28.06,79,45,9.01,MH,1700846220
348,lambarene,-0.7001,10.2406,23.07,95,100,0.59,GA,1700846221
349,kudahuvadhoo,2.6708,72.8944,26.75,81,100,2.46,MV,1700846222
350,yuzhno-kurilsk,44.0306,145.8556,2.99,95,98,7.47,RU,1700846222
351,shihezi,44.3,86.0333,1.4,84,33,1.02,CN,1700846224
352,polonnaruwa,7.9333,81.0,23.94,94,100,0.8,LK,1700846224
353,roberval,48.5168,-72.2324,-10.65,62,100,4.12,CA,1700846172
354,bafata,12.1667,-14.75,35.14,17,57,0.99,GW,1700846226
355,petrovsk-zabaykal'skiy,51.273,108.843,-16.92,82,100,0.85,RU,1700846227
356,bechar,31.6167,-2.2167,18.18,17,0,6.17,DZ,1700846229
357,kirakira,-10.4544,161.9205,26.37,86,52,3.81,SB,1700846230
358,dukhan,25.4297,50.7858,23.01,71,18,4.1,QA,1700846231
359,takoradi,4.8845,-1.7554,28.2,76,95,4.81,GH,1700846141
360,grand-bassam,5.2118,-3.7388,29.98,74,100,4.06,CI,1700846232
361,khorugh,37.4897,71.553,3.82,28,94,1.6,TJ,1700846233
